,index,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
2067,2762,579990,2,2,90 Highland Dr,N7M 2C3,Chatham,42.4238,-82.1183,3
2068,2763,5000000,7,5,1280 Wellington St,N7S 1G7,Sarnia,42.9888,-82.3592,0
2069,2764,5480000,5,4,88 Fifeshire Rd,M2L 2J2,North York ,43.7547,-79.3764,1
2070,2765,3980000,7,6,66 Hawkridge Ave,L3P 1N9,Markham,43.8769,-79.2686,1
2071,2767,4200000,9,6,124 Kendal Ave,M5R 2X3,Toronto,43.6736,-79.4035,0
2072,2768,679000,2,2,103 Roger St,P3B 1L8,Greater Sudbury ,46.4847,-80.9304,3
2073,2771,1599000,4,5,140 Honeywood Rd,M3N 1C2,North York ,43.7568,-79.521,1
2074,2772,2398000,4,3,141 Main Unionville St,L3R 2G5,Markham,43.8479,-79.3288,1
2075,2774,1179000,2,2,1001 Bay St 2104,M5S 2S3,Toronto,43.6629,-79.3987,2
2076,2775,2249000,2,2,374 Joicey Blvd,M6A 2E6,North York ,43.7223,-79.4504,1
2077,2776,1699999,4,3,25 Somerville Cres,L0N 1M0,Dufferin County,44.0317,-80.2068,3
2078,2777,1299900,6,8,78 Riverside Dr,P3E 1G8,Greater Sudbury ,46.2676,-80.9063,3
2079,2779,1499998,3,2,20930 Dalton Rd,L0E 1L0,Lake Simcoe ,44.3199,-79.2778,1
2080,2780,1375000,2,2,15 Rebecca St,L2R 7C3,St. Catharines ,43.1419,-79.2966,2
2081,2781,1085000,3,3,57 Finch Ave 5,M2N 7H2,Willowdale,43.7673,-79.4111,2
2082,2782,723000,2,1,955 Bay St 2312,M5S 2S3,Toronto,43.6629,-79.3987,2
2083,2783,175000,3,1,407 Victoria Ave,K8N 4J6,Belleville,44.1735,-77.3684,3
2084,2785,3999000,2,1,23625 Mccowan Rd,L0E 1A0,Lake Simcoe ,44.3199,-79.2778,1
2085,2787,930000,4,3,157 Tumblewood Pl,L3B 6A8,Welland,42.9878,-79.2219,2
2086,2789,2300000,6,6,155 Crestview Crt,P6B 4M4,Sault Ste. ,46.5307,-84.3046,0
2087,2791,1099999,6,2,5386 Kirkfield Rd,L0K 1W0,Lake Simcoe ,44.6233,-79.1235,1
2088,2795,1999999,3,2,29 Thelma Ave,M5P 2W3,Toronto,43.6966,-79.412,2
2089,2796,1598000,3,3,16 Bonnycastle St 4004,M5A 0L1,Toronto,43.6555,-79.3626,2
2090,2798,3480000,6,5,69 Snively St,L4E 0C9,Richmond Hill ,43.9394,-79.4349,0
2091,2802,899000,6,5,98 Juneberry Rd,L5N 6X7,Mississauga,43.5924,-79.7611,1
2092,2803,699000,4,2,1 Merchison Ave,L8H 2V4,Hamilton,43.2596,-79.7925,1
2093,2804,1599000,4,4,1651 Warren Dr,L4W 2B9,Mississauga,43.6413,-79.6296,1
2094,2805,1780000,4,4,7 Roseberry Rd,L6G 0E3,Markham,43.8485,-79.3346,1
2095,2807,925000,2,2,251 Manitoba St 130,M8Y 4H5,Etobicoke,43.6325,-79.4939,3
2096,2811,715000,2,2,716 Main St 1007,P3N 1G2,Greater Sudbury ,46.5845,-81.0029,3
2097,2812,595000,2,2,50 Lakeside Terr 509,L4M 0J2,Barrie,44.4001,-79.6663,3
2098,2814,958000,2,2,15 Fort York Blvd 3906,M5V 3Y7,Toronto,43.6404,-79.3995,2
2099,2815,655000,2,1,90 Park Lawn Rd 215,M8V 1A2,Toronto,43.6075,-79.5013,2
2100,2817,898000,2,2,36 Forest Manor Rd 1110,M2J 1M4,North York ,43.7801,-79.3479,1
2101,2819,2218800,6,6,4 Glenholme Ave,M6E 1A3,York,43.6889,-79.4507,0
2102,2820,2499000,6,3,150 Viewmount Ave,M6B 2A2,North York ,43.7081,-79.4479,1
2103,2821,599999,1,1,21 Iceboat Terr 332,M5V 4A7,Toronto,43.6404,-79.3995,2
2104,2823,469000,3,2,345 Driftwood Ave 311,M3N 2K7,North York ,43.7568,-79.521,1
2105,2825,10900000,8,8,1865 Davis Dr,K7M 8J4,Kingston,44.2411,-76.5788,0
2106,2826,1588880,3,2,2463 Kennedy Rd,M1S 1H5,Scarborough,43.7946,-79.2644,2
2107,2827,850000,3,2,396 Harcourt Dr,L1H 6V6,Oshawa,43.9721,-78.8837,1
2108,2828,699000,2,2,34 Fieldway Rd 140,M8Z 0B9,Etobicoke,43.6256,-79.5231,3
2109,2829,1160000,2,2,151 Avenue Rd 608,K7M 3E1,Kingston,44.2411,-76.5788,1
2110,2830,838000,1,1,480 Front St 805,L1H 3M2,Oshawa,43.9721,-78.8837,1
2111,2831,799990,7,3,43 Albert St,L8M 1W9,Hamilton,43.2441,-79.8359,1
2112,2832,2399000,4,4,7 Greenbrook Dr,N2M 4Z2,Kitchener,43.4363,-80.5093,1
2113,2835,898000,4,2,38 Forest Manor Rd 2208,M2J 1M4,North York ,43.7801,-79.3479,1
2114,2837,1070000,3,2,5164 Severn Pines Cres,L0K 2B0,Lake Simcoe ,44.6233,-79.1235,1
2115,2838,2950000,3,3,5562 Trafalgar Rd,L6H 7B8,Oakville,43.4881,-79.7098,1
2116,2839,4499000,3,2,4028 Twenty First St,M8V 3M1,Toronto,43.6075,-79.5013,2
2117,2841,599900,2,2,50 Lakeside Terr 202,L4M 0J2,Barrie,44.4001,-79.6663,3
2118,2844,725000,2,1,35 Mariner Terr 201,M5V 3Y7,Toronto,43.6404,-79.3995,2
2119,2846,768800,2,2,155 Mcleod St,K2P 1N3,Ottawa,45.4166,-75.6904,1
2120,2848,6450000,5,5,167 Balsam Dr,L6J 3X4,Oakville,43.4757,-79.6591,0
2121,2849,6299888,6,4,120 Fairview Rd,K7M 7N9,Kingston,44.2411,-76.5788,1
2122,2850,775000,2,2,30 Grand Trunk Cres 310,M5V 3L9,Toronto,43.6404,-79.3995,2
