,Unnamed: 0,City,Year,Month,Sold,List_price_avg,Sold_price_avg,above_below,monthly_change,monthly_change_per,days_on_mar
76,76,barrie,2015,August,156,305262.0,303737.0,-0.49,36969.0,13.85,19
77,77,barrie,2015,July,199,268287.0,266768.0,-0.56,456.0,0.17,17
78,78,barrie,2015,June,235,271025.0,266312.0,-1.73,13938.0,-4.97,21
79,79,barrie,2015,May,228,283075.0,280250.0,-0.99,13150.0,4.92,14
80,80,barrie,2015,April,186,269500.0,267100.0,-0.89,8475.0,3.27,17
81,81,barrie,2015,March,166,263425.0,258625.0,-1.82,4475.0,1.76,21
82,82,barrie,2015,February,131,255362.0,254150.0,-0.47,5200.0,-2.0,22
83,83,barrie,2015,January,82,263062.0,259350.0,-1.41,15288.0,6.26,34
84,84,barrie,2014,December,83,249675.0,244062.0,-2.24,31925.0,-11.56,27
85,85,barrie,2014,November,113,280900.0,275987.0,-1.74,29362.0,11.9,30
86,86,barrie,2014,October,118,253312.0,246625.0,-2.63,7750.0,-3.04,22
87,87,barrie,2014,September,128,261012.0,254375.0,-2.54,16312.0,-6.02,21
88,88,barrie,2014,August,152,274037.0,270687.0,-1.22,19825.0,7.9,24
89,89,barrie,2014,July,157,256212.0,250862.0,-2.08,10364.0,4.3,28
90,90,barrie,2014,June,168,243662.0,240498.0,-1.29,24239.0,-9.15,23
91,91,barrie,2014,May,230,268912.0,264737.0,-1.55,15812.0,6.35,27
92,92,barrie,2014,April,183,252000.0,248925.0,-1.22,3300.0,1.34,23
93,93,barrie,2014,March,126,250525.0,245625.0,-1.95,10750.0,-4.19,23
94,94,barrie,2014,February,105,261050.0,256375.0,-1.79,29888.0,13.19,20
95,95,barrie,2014,January,67,231400.0,226487.0,-2.12,2762.0,1.23,20
96,96,barrie,2013,December,60,227987.0,223725.0,-1.86,2587.0,-1.14,42
97,97,barrie,2013,November,88,230325.0,226312.0,-1.74,7340.0,-3.14,29
98,98,barrie,2013,October,125,238061.0,233652.0,-1.85,30323.0,-11.48,32
99,99,barrie,2013,September,101,272400.0,263975.0,-3.09,6475.0,2.51,63
100,100,barrie,2013,August,125,263700.0,257500.0,-2.35,16375.0,6.79,36
101,101,barrie,2013,July,153,246062.0,241125.0,-2.0,2687.0,-1.1,28
102,102,barrie,2013,June,155,249762.0,243812.0,-2.38,18025.0,7.98,33
103,103,barrie,2013,May,162,230862.0,225787.0,-2.19,36037.0,18.99,29
104,104,barrie,2013,April,158,193675.0,189750.0,-2.02,75875.0,-28.56,19
105,105,barrie,2013,March,127,272970.0,265625.0,-2.69,75375.0,39.61,30
