,Price,Beds,Baths,Postal_Code,City,Latitude,Longitude,Cluster
2166,1250000,4,3,L0K 2E0,Lake Simcoe ,44.6233,-79.1235,1
2168,1369990,4,4,L4N 0G0,Barrie,44.3572,-79.6929,2
2169,779000,3,4,L4N 9G4,Barrie,44.3572,-79.6929,0
2174,2288000,7,5,L4H 3J8,Woodbridge,43.8432,-79.5644,1
2175,4588800,4,6,L4L 8J5,Woodbridge,43.8064,-79.5995,0
2176,5280000,8,5,M5J 1Z4,Toronto,43.623,-79.3936,1
2177,1538000,3,4,M1K 1A1,Scarborough,43.7298,-79.2639,2
2178,2680000,4,3,M2J 4A7,North York ,43.7801,-79.3479,2
2180,4998000,5,6,M2N 2B3,Willowdale,43.7673,-79.4111,0
2181,2599900,8,4,M5R 2R6,Toronto,43.6736,-79.4035,1
2182,3200000,4,5,M9R 3V7,Etobicoke,43.6898,-79.5582,2
2183,915000,2,2,M8V 4C5,Toronto,43.6075,-79.5013,0
2184,1895000,3,3,L5L 3R4,Mississauga,43.5373,-79.6903,3
2185,549000,1,1,M8V 1A2,Toronto,43.6075,-79.5013,0
2186,729900,1,2,M8V 1A2,Toronto,43.6075,-79.5013,0
2187,789900,3,2,L6L 1X6,Oakville,43.4032,-79.7186,3
2188,599900,2,1,M6H 3Z6,Toronto,43.6655,-79.4378,1
2189,618000,2,2,L4N 8G1,Barrie,44.3572,-79.6929,1
2190,525900,2,2,L3Y 1E8,Newmarket,44.0565,-79.4555,1
2193,1295000,2,2,M2N 5R6,Willowdale,43.7673,-79.4111,2
2195,3998500,4,5,M5P 1A2,Toronto,43.6966,-79.412,2
2196,1698880,3,3,M6K 3P8,Toronto,43.6383,-79.4301,2
2197,668000,1,1,L5A 3R8,Mississauga,43.5883,-79.6091,2
2198,1395000,2,2,M4V 2J1,Toronto,43.6861,-79.4025,1
2199,620000,2,1,M5J 0E1,Toronto,43.623,-79.3936,2
2200,766800,2,2,P7A 1A2,Thunder Bay ,48.4601,-89.2035,1
2201,1899000,5,2,N7V 3Z3,Sarnia,42.9998,-82.3926,1
2202,2399900,3,3,P3E 1X3,Greater Sudbury ,46.2676,-80.9063,1
2203,709000,3,3,K2C 4E5,Ottawa,45.3679,-75.7381,2
2204,1888888,9,4,M6L 1L7,North York ,43.7137,-79.4869,2
2205,3199000,6,6,M6M 2K9,York,43.6934,-79.4857,1
2206,3198000,4,4,M9A 3L8,Etobicoke,43.6662,-79.5282,2
2207,2699000,7,7,L5V 1B9,Mississauga,43.5972,-79.6931,2
2208,1899000,3,2,M9A 3V3,Etobicoke,43.6662,-79.5282,3
2209,2790000,7,5,L4M 1L3,Barrie,44.4001,-79.6663,1
2211,1780000,4,2,L4C 4Z3,Richmond Hill ,43.8669,-79.4414,2
2213,1938000,6,5,L4M 7J3,Barrie,44.4001,-79.6663,3
2215,2599000,5,5,L4C 5A6,Richmond Hill ,43.8669,-79.4414,2
2216,1199000,4,3,L1Z 0E7,Ajax,43.8773,-79.0055,1
2217,3288000,5,5,M2L 1L3,North York ,43.7547,-79.3764,3
2218,359900,3,2,N6E 2S3,London,42.9185,-81.2244,2
2219,499000,1,1,M9B 2R5,Etobicoke,43.6505,-79.5517,3
2220,819000,3,2,L5M 4G8,Mississauga,43.5637,-79.7202,3
2221,539000,2,2,M9B 1B3,Etobicoke,43.6505,-79.5517,1
2224,449000,2,1,M1J 3P4,Scarborough,43.7464,-79.2323,3
2225,629900,1,1,M2N 7L6,Willowdale,43.7673,-79.4111,1
2226,1150000,3,2,M5T 1X5,Toronto,43.6541,-79.3978,3
2227,1688000,3,3,M2P 2E3,North York ,43.75,-79.3978,1
2228,600000,4,2,K1L 7K3,Ottawa,45.44,-75.663,1
2229,1590000,4,2,L5N 1G6,Mississauga,43.5924,-79.7611,0
2230,799000,3,2,M6E 1C3,York,43.6889,-79.4507,2
2232,799900,4,2,M1E 5B3,Scarborough,43.7678,-79.1866,0
2233,2998000,3,4,M4N 1X2,Toronto,43.7301,-79.3935,2
2235,749900,4,2,M6G 2M3,Toronto,43.6683,-79.4205,2
2236,5900000,6,5,L6L 4G2,Oakville,43.4032,-79.7186,2
2237,774900,3,3,L4M 5A0,Barrie,44.4001,-79.6663,1
2240,1899000,5,4,M3J 0G9,North York ,43.7694,-79.4921,1
2241,9298000,6,9,M3B 1W6,Don Mills ,43.745,-79.359,2
2242,2500000,4,5,M2R 2N1,Willowdale,43.7786,-79.445,0
2243,1999999,5,3,M6G 3Z6,Toronto,43.6683,-79.4205,1
2244,1888888,6,4,N2V 2C2,Waterloo,43.4764,-80.5842,3
2245,899900,3,3,L7P 2J3,Burlington,43.3806,-79.886,2
2246,729900,2,2,M8Y 4H5,Etobicoke,43.6325,-79.4939,3
2247,599000,3,2,M1W 2R5,Scarborough,43.8016,-79.3216,1
2248,625000,2,1,M6J 0A9,Toronto,43.648,-79.4177,1
2250,249900,3,1,L0K 1W0,Lake Simcoe ,44.6233,-79.1235,2
2251,3750000,5,4,L5G 2G6,Mississauga,43.5647,-79.5852,2
2252,2599999,3,5,L5G 1H9,Mississauga,43.5647,-79.5852,0
2253,1350000,8,5,M3L 1A1,Downsview,43.7334,-79.5116,0
2254,999000,5,3,L6V 4N4,Brampton,43.7059,-79.7626,2
2256,2805990,5,6,L4E 4W2,Richmond Hill ,43.9394,-79.4349,3
2257,2429990,4,4,L4E 4W2,Richmond Hill ,43.9394,-79.4349,0
2259,1299999,3,2,M1E 1L8,Scarborough,43.7678,-79.1866,3
2260,1738000,3,1,M5R 3J3,Toronto,43.6736,-79.4035,3
2261,1230000,2,1,M6E 2A2,York,43.6889,-79.4507,2
2262,5900000,5,4,M4W 1R1,Toronto,43.6827,-79.373,2
2263,3295000,4,4,M4W 1K2,Toronto,43.6827,-79.373,0
2264,1899000,4,3,M2N 3R7,Willowdale,43.7673,-79.4111,1
2265,559990,2,2,N3T 3V5,Brant,43.131,-80.3254,2
2266,559900,1,1,L6M 4J2,Oakville,43.4464,-79.7593,0
2267,799888,4,3,M2N 5S2,Willowdale,43.7673,-79.4111,3
2268,599900,2,2,L4Y 3H7,Mississauga,43.6028,-79.5929,2
2272,987999,2,2,M2J 1M4,North York ,43.7801,-79.3479,3
2275,680000,2,1,M4S 2B2,Toronto,43.702,-79.3853,1
2276,2600000,3,3,M5V 3H2,Toronto,43.6404,-79.3995,1
2277,761500,2,1,M5V 3Y7,Toronto,43.6404,-79.3995,2
2278,599900,1,1,L2V 4N1,St. Catharines ,43.1142,-79.2035,1
2280,669000,3,1,M5B 2L1,Toronto,43.6572,-79.3783,2
2281,745000,2,2,M2J 1M4,North York ,43.7801,-79.3479,2
2282,1999000,3,2,N6A 3H1,London,42.9976,-81.2563,2
2283,1150000,2,2,M6J 2L5,Toronto,43.648,-79.4177,0
2284,849000,2,1,K1M 2B2,Ottawa,45.4491,-75.6818,0
2285,849900,2,1,M9R 3V7,Etobicoke,43.6898,-79.5582,1
2288,968000,4,3,N1H 7C7,Guelph,43.5588,-80.3004,2
2289,499900,3,2,N5R 1R1,St. Thomas ,42.7597,-81.1762,1
2290,1849900,4,2,L6L 1Y9,Oakville,43.4032,-79.7186,3
2291,1599000,4,3,M4C 2Z1,East York ,43.6913,-79.3116,1
2292,3650000,5,5,M8X 2M6,Etobicoke,43.6518,-79.5076,1
2295,2888000,4,4,L3X 2K3,Newmarket,44.0433,-79.4912,2
2298,2399000,5,4,M4X 1P7,Toronto,43.6684,-79.3689,2
2299,4289000,5,4,M4G 2L8,East York ,43.7124,-79.3644,2
2300,1695000,7,4,M5S 1X4,Toronto,43.6629,-79.3987,2
2301,2580000,5,5,M2N 3B1,Willowdale,43.7673,-79.4111,3
2302,5198000,5,7,M4N 3M6,Toronto,43.7301,-79.3935,1
2303,6495000,5,6,M4N 2K7,Toronto,43.7301,-79.3935,0
2304,1900000,5,2,M3B 3K8,Don Mills ,43.745,-79.359,3
2305,2980000,3,3,M5N 1M2,Toronto,43.7113,-79.4195,1
2306,625000,3,2,P3C 2V8,Greater Sudbury ,46.5133,-81.0225,2
2307,532000,1,2,L3R 2G9,Markham,43.8479,-79.3288,0
2308,619900,3,2,L5M 6J3,Mississauga,43.5637,-79.7202,1
2309,679000,3,2,L4B 4V9,Richmond Hill ,43.8582,-79.3985,3
2311,749000,2,2,M4P 1P8,Toronto,43.7135,-79.3887,2
2312,989000,2,2,N7M 1N9,Chatham,42.4238,-82.1183,1
2313,689000,1,1,M5V 1A4,Toronto,43.6404,-79.3995,3
2315,721000,1,1,M5J 2R0,Toronto,43.623,-79.3936,3
2316,799900,2,2,M4P 2G5,Toronto,43.7135,-79.3887,0
2318,1250000,3,2,M5E 1Z9,Toronto,43.6456,-79.3754,1
2319,1158800,2,2,L8S 2G7,Hamilton,43.2606,-79.9161,1
2320,1398000,2,2,M5P 2X9,Toronto,43.6966,-79.412,2
2321,899000,3,2,M6K 3R9,Toronto,43.6383,-79.4301,2
2322,1495000,3,2,M4V 2K5,Toronto,43.6861,-79.4025,2
2323,859000,2,2,M5V 0E7,Toronto,43.6404,-79.3995,1
2324,729900,1,1,M6K 3P8,Toronto,43.6383,-79.4301,3
2325,1100000,2,1,K0L 1J0,Peterborough County,44.7767,-77.9687,2
2326,3999999,5,4,M4E 1L6,Toronto,43.6784,-79.2941,1
2327,1710000,5,3,M1E 3Y3,Scarborough,43.7678,-79.1866,2
