,City,Year,Month,Sold,List_price_avg,Sold_price_avg,above_below,monthly_change,monthly_change_per,days_on_mar
467,hamilton,2013,January,48,"$239,112","$233,875",-2.19%,"-$11,375",-4.63%,34
468,hamilton,2012,December,36,"$254,712","$245,250",-3.71%,"-$92,675",-27.42%,32
469,hamilton,2012,November,48,"$348,375","$337,925",-2.99%,"$54,650",19.29%,42
470,hamilton,2012,October,61,"$291,662","$283,275",-2.87%,"$42,463",17.63%,31
471,hamilton,2012,September,53,"$248,862","$240,812",-3.23%,"$36,212",17.69%,31
472,hamilton,2012,August,37,"$208,100","$204,600",-1.68%,"-$51,900",-20.23%,50
473,hamilton,2012,July,55,"$257,225","$256,500",-0.28%,"-$26,925",-9.49%,28
474,hamilton,2012,June,73,"$290,372","$283,425",-2.39%,"$5,863",2.11%,27
475,hamilton,2012,May,62,"$282,724","$277,562",-1.82%,"$29,812",12.03%,31
476,hamilton,2012,April,65,"$252,325","$247,750",-1.81%,"-$24,625",-9.04%,23
477,hamilton,2012,March,61,"$277,962","$272,375",-2%,"$26,378",10.72%,28
478,hamilton,2012,February,26,"$258,675","$245,997",-4.9%,"$36,435",17.38%,81
479,hamilton,2012,January,30,"$212,450","$209,562",-1.35%,"$209,562",0%,29
480,innisfil,2021,December,48,"$674,950","$730,875",8.28%,"-$127,474",-14.85%,7
481,innisfil,2021,November,81,"$805,724","$858,349",6.53%,"$271,474",46.25%,44
482,innisfil,2021,October,104,"$549,587","$586,875",6.78%,"-$9,875",-1.65%,7
483,innisfil,2021,September,79,"$584,497","$596,750",2.09%,"-$18,250",-2.96%,10
484,innisfil,2021,August,96,"$579,100","$615,000",6.19%,"$3,125",0.51%,12
485,innisfil,2021,July,98,"$577,449","$611,875",5.96%,"-$210,375",-25.58%,10
486,innisfil,2021,June,114,"$836,500","$822,250",-1.7%,"$273,375",49.8%,13
487,innisfil,2021,May,122,"$546,473","$548,875",0.43%,"$11,375",2.11%,12
488,innisfil,2021,April,169,"$503,337","$537,500",6.78%,"$13,625",2.6%,8
489,innisfil,2021,March,169,"$499,612","$523,875",4.85%,"-$352,500",-40.22%,5
490,innisfil,2021,February,115,"$865,549","$876,375",1.25%,"$355,000",68.08%,6
491,innisfil,2021,January,73,"$499,587","$521,375",4.36%,"-$37,387",-6.69%,5
492,innisfil,2020,December,81,"$559,472","$558,762",-0.12%,"$90,387",19.29%,16
493,innisfil,2020,November,83,"$467,362","$468,375",0.21%,"$17,403",3.85%,13
494,innisfil,2020,October,105,"$435,700","$450,972",3.5%,"-$117,840",-20.71%,12
495,innisfil,2020,September,136,"$576,212","$568,812",-1.28%,"-$38,313",-6.31%,11
496,innisfil,2020,August,150,"$603,312","$607,125",0.63%,"-$17,031",-2.72%,32
497,innisfil,2020,July,164,"$636,175","$624,156",-1.88%,"$211,281",51.17%,24
498,innisfil,2020,June,129,"$417,975","$412,875",-1.22%,"$58,875",16.63%,15
499,innisfil,2020,May,71,"$364,312","$354,000",-2.83%,"-$30,375",-7.9%,23
500,innisfil,2020,April,37,"$389,450","$384,375",-1.3%,"$1,075",0.28%,17
501,innisfil,2020,March,81,"$392,362","$383,300",-2.3%,"$6,675",1.77%,14
502,innisfil,2020,February,90,"$378,687","$376,625",-0.54%,"-$20,062",-5.05%,17
503,innisfil,2020,January,47,"$407,200","$396,687",-2.58%,"$130,437",48.99%,24
504,innisfil,2019,December,46,"$270,362","$266,250",-1.52%,"-$166,562",-38.48%,17
505,innisfil,2019,November,70,"$463,362","$432,812",-6.59%,"$92,187",27.06%,24
506,innisfil,2019,October,90,"$347,700","$340,625",-2.03%,"-$35,000",-9.31%,40
507,innisfil,2019,September,90,"$392,487","$375,625",-4.29%,$375,0.09%,18
508,innisfil,2019,August,70,"$380,973","$375,250",-1.5%,"$47,750",14.58%,35
509,innisfil,2019,July,77,"$340,950","$327,500",-3.94%,"-$31,187",-8.69%,24
510,innisfil,2019,June,78,"$371,450","$358,687",-3.43%,"-$4,788",-1.31%,23
511,innisfil,2019,May,79,"$377,174","$363,475",-3.63%,"-$36,687",-9.16%,26
512,innisfil,2019,April,73,"$410,075","$400,162",-2.41%,"$51,787",14.86%,11
513,innisfil,2019,March,74,"$363,074","$348,375",-4.04%,"-$169,875",-32.77%,34
514,innisfil,2019,February,51,"$541,599","$518,250",-4.31%,"$272,875",111.2%,16
515,innisfil,2019,January,47,"$250,962","$245,375",-2.22%,"-$142,187",-36.68%,17
516,innisfil,2018,December,23,"$400,448","$387,562",-3.21%,"$44,942",13.11%,34
517,innisfil,2018,November,39,"$355,737","$342,620",-3.68%,"-$76,492",-18.25%,15
518,innisfil,2018,October,56,"$430,349","$419,112",-2.61%,"$71,612",20.6%,41
519,innisfil,2018,September,53,"$354,750","$347,500",-2.04%,"-$381,625",-52.34%,18
520,innisfil,2018,August,63,"$755,349","$729,125",-3.47%,"$474,750",186.63%,32
521,innisfil,2018,July,56,"$264,112","$254,375",-3.68%,"$4,375",1.75%,14
522,innisfil,2018,June,69,"$253,675","$250,000",-1.44%,"-$9,000",-3.47%,8
523,innisfil,2018,May,61,"$271,100","$259,000",-4.46%,"-$76,875",-22.88%,10
524,innisfil,2018,April,64,"$339,461","$335,875",-1.05%,"$92,875",38.22%,9
525,innisfil,2018,March,50,"$246,225","$243,000",-1.3%,"-$147,562",-37.78%,11
526,innisfil,2018,February,32,"$400,562","$390,562",-2.49%,"$169,812",76.92%,15
527,innisfil,2018,January,28,"$228,725","$220,750",-3.48%,"-$16,500",-6.95%,12
528,innisfil,2017,December,29,"$245,462","$237,250",-3.34%,"$5,000",2.15%,14
529,innisfil,2017,November,44,"$242,086","$232,250",-4.06%,"-$218,250",-48.44%,18
530,innisfil,2017,October,46,"$459,312","$450,500",-1.91%,"$200,875",80.47%,30
531,innisfil,2017,September,36,"$254,225","$249,625",-1.8%,"-$114,125",-31.37%,12
532,innisfil,2017,August,34,"$377,200","$363,750",-3.56%,"$121,431",50.11%,32
533,innisfil,2017,July,34,"$243,725","$242,319",-0.57%,"-$9,993",-3.96%,14
534,innisfil,2017,June,62,"$255,487","$252,312",-1.24%,"-$14,688",-5.5%,8
535,innisfil,2017,May,79,"$257,225","$267,000",3.8%,"-$15,500",-5.48%,5
536,innisfil,2017,April,109,"$267,475","$282,500",5.61%,"$2,500",0.89%,3
537,innisfil,2017,March,100,"$259,725","$280,000",7.8%,"$25,000",9.8%,2
538,innisfil,2017,February,51,"$237,086","$255,000",7.55%,"-$2,750",-1.06%,1
539,innisfil,2017,January,44,"$257,225","$257,750",0.2%,"-$3,500",-1.33%,3
540,innisfil,2016,December,28,"$264,950","$261,250",-1.39%,"$23,488",9.87%,8
541,innisfil,2016,November,47,"$234,850","$237,762",1.23%,"$18,075",8.22%,4
542,innisfil,2016,October,52,"$219,037","$219,687",0.29%,"$3,750",1.73%,3
543,innisfil,2016,September,75,"$218,725","$215,937",-1.27%,"-$2,813",-1.28%,5
544,innisfil,2016,August,52,"$219,850","$218,750",-0.5%,"$7,763",3.67%,6
545,innisfil,2016,July,69,"$211,224","$210,987",-0.11%,-$263,-0.12%,4
546,innisfil,2016,June,103,"$208,725","$211,250",1.2%,"$3,025",1.45%,5
547,innisfil,2016,May,104,"$206,225","$208,225",0.96%,"$19,600",10.39%,5
548,innisfil,2016,April,102,"$190,575","$188,625",-1.02%,"-$6,375",-3.26%,5
549,innisfil,2016,March,70,"$193,725","$195,000",0.65%,"$4,750",2.49%,3
550,innisfil,2016,February,38,"$193,950","$190,250",-1.9%,"$4,438",2.38%,7
551,innisfil,2016,January,24,"$188,724","$185,812",-1.54%,"-$4,700",-2.46%,12
552,innisfil,2015,December,24,"$194,321","$190,512",-1.96%,"$21,787",12.91%,11
553,innisfil,2015,November,38,"$169,925","$168,725",-0.7%,"-$9,212",-5.17%,10
554,innisfil,2015,October,47,"$180,700","$177,937",-1.52%,-$463,-0.25%,16
555,innisfil,2015,September,56,"$182,075","$178,400",-2.01%,"-$4,825",-2.63%,11
556,innisfil,2015,August,68,"$185,975","$183,225",-1.47%,"$10,007",5.77%,9
557,innisfil,2015,July,81,"$177,100","$173,218",-2.19%,"-$9,782",-5.34%,12
558,innisfil,2015,June,53,"$187,362","$183,000",-2.32%,"$10,000",5.78%,6
559,innisfil,2015,May,92,"$178,700","$173,000",-3.18%,$0,0%,10
560,innisfil,2015,April,67,"$171,775","$173,000",0.71%,"-$2,000",-1.14%,7
561,innisfil,2015,March,50,"$176,197","$175,000",-0.67%,"$3,500",2.04%,6
562,innisfil,2015,February,37,"$175,300","$171,500",-2.16%,"$20,875",13.85%,20
563,innisfil,2015,January,34,"$152,450","$150,625",-1.19%,"$5,125",3.52%,10
564,innisfil,2014,December,26,"$148,700","$145,500",-2.15%,"-$9,000",-5.82%,14
565,innisfil,2014,November,33,"$158,300","$154,500",-2.4%,$750,0.48%,18
566,innisfil,2014,October,51,"$156,200","$153,750",-1.56%,"-$1,250",-0.8%,14
567,innisfil,2014,September,59,"$157,237","$155,000",-1.42%,$875,0.56%,14
568,innisfil,2014,August,52,"$157,725","$154,125",-2.28%,"-$4,625",-2.91%,17
569,innisfil,2014,July,73,"$161,575","$158,750",-1.74%,"$5,139",3.34%,12
570,innisfil,2014,June,76,"$156,586","$153,611",-1.89%,"$2,636",1.74%,11
571,innisfil,2014,May,59,"$154,950","$150,975",-2.56%,"-$10,150",-6.29%,12
572,innisfil,2014,April,53,"$163,075","$161,125",-1.19%,"$8,438",5.52%,10
573,innisfil,2014,March,46,"$154,337","$152,687",-1.06%,"-$8,550",-5.3%,10
574,innisfil,2014,February,33,"$163,112","$161,237",-1.14%,"$16,050",11.05%,10
575,innisfil,2014,January,19,"$149,950","$145,187",-3.17%,"$14,750",11.3%,26
576,innisfil,2013,December,21,"$132,423","$130,437",-1.49%,"-$3,313",-2.47%,11
577,innisfil,2013,November,34,"$137,225","$133,750",-2.53%,"-$2,362",-1.73%,11
578,innisfil,2013,October,50,"$142,431","$136,112",-4.43%,"-$18,388",-11.9%,18
579,innisfil,2013,September,44,"$157,450","$154,500",-1.87%,"$21,813",16.43%,7
580,innisfil,2013,August,40,"$136,187","$132,687",-2.56%,"-$4,813",-3.5%,13
581,innisfil,2013,July,67,"$143,537","$137,500",-4.2%,"$5,500",4.16%,11
582,innisfil,2013,June,60,"$134,999","$132,000",-2.22%,"-$10,375",-7.28%,12
583,innisfil,2013,May,60,"$144,974","$142,375",-1.79%,"$1,125",0.79%,10
584,innisfil,2013,April,51,"$144,350","$141,250",-2.14%,"$6,563",4.87%,13
585,innisfil,2013,March,45,"$136,937","$134,687",-1.64%,"-$6,800",-4.8%,14
586,innisfil,2013,February,28,"$146,825","$141,487",-3.63%,"$53,237",60.32%,15
587,innisfil,2013,January,17,"$89,750","$88,250",-1.67%,"-$38,500",-30.37%,17
588,innisfil,2012,December,27,"$134,612","$126,750",-5.84%,"-$2,125",-1.64%,14
589,innisfil,2012,November,37,"$132,850","$128,875",-2.99%,"-$4,537",-3.4%,19
590,innisfil,2012,October,39,"$138,700","$133,412",-3.81%,"-$5,213",-3.76%,16
591,innisfil,2012,September,45,"$141,075","$138,625",-1.73%,-$247,-0.17%,14
592,innisfil,2012,August,34,"$141,972","$138,872",-2.18%,"$7,872",6%,43
593,innisfil,2012,July,58,"$131,725","$131,000",-0.55%,"-$11,112",-7.81%,21
594,innisfil,2012,June,59,"$145,598","$142,112",-2.39%,"-$41,838",-22.74%,11
595,innisfil,2012,May,71,"$186,950","$183,950",-1.6%,"$44,700",32.1%,37
596,innisfil,2012,April,52,"$140,972","$139,250",-1.22%,"-$31,975",-18.67%,12
597,innisfil,2012,March,52,"$172,850","$171,225",-0.94%,"$42,488",33%,28
598,innisfil,2012,February,33,"$129,287","$128,737",-0.42%,"-$50,300",-28.09%,12
599,innisfil,2012,January,23,"$182,411","$179,037",-1.84%,"$179,037",0%,23
600,markham,2021,December,265,"$1,056,975","$1,197,625",13.3%,"$56,250",4.92%,7
601,markham,2021,November,407,"$1,012,700","$1,141,375",12.7%,"$22,650",2.02%,7
602,markham,2021,October,477,"$976,959","$1,118,725",14.51%,"$28,600",2.62%,7
603,markham,2021,September,470,"$966,725","$1,090,125",12.76%,"$58,588",5.67%,8
604,markham,2021,August,410,"$940,222","$1,031,537",9.71%,"$3,281",0.31%,8
605,markham,2021,July,461,"$954,000","$1,028,256",7.78%,"$16,531",1.63%,9
606,markham,2021,June,485,"$915,062","$1,011,725",10.56%,"$1,838",0.18%,9
607,markham,2021,May,572,"$938,612","$1,009,887",7.59%,"-$5,050",-0.49%,7
608,markham,2021,April,596,"$935,236","$1,014,937",8.52%,"$5,462",0.54%,7
609,markham,2021,March,687,"$888,237","$1,009,475",13.64%,"$35,300",3.62%,6
610,markham,2021,February,499,"$865,085","$974,175",12.61%,"$49,675",5.37%,7
611,markham,2021,January,281,"$873,000","$924,500",5.89%,"$41,650",4.71%,9
612,markham,2020,December,288,"$862,684","$882,850",2.33%,"$11,225",1.28%,19
613,markham,2020,November,390,"$866,875","$871,625",0.54%,"$13,375",1.55%,15
614,markham,2020,October,406,"$849,499","$858,250",1.03%,"-$13,072",-1.5%,12
615,markham,2020,September,453,"$843,637","$871,322",3.28%,"-$9,203",-1.04%,12
616,markham,2020,August,479,"$853,612","$880,525",3.15%,"$19,025",2.2%,12
617,markham,2020,July,481,"$837,833","$861,500",2.82%,"$22,750",2.71%,10
618,markham,2020,June,363,"$806,211","$838,750",4.03%,"-$3,500",-0.41%,10
619,markham,2020,May,173,"$836,875","$842,250",0.64%,"$81,375",10.69%,16
620,markham,2020,April,106,"$774,711","$760,875",-1.78%,"-$84,125",-9.95%,18
621,markham,2020,March,368,"$781,947","$845,000",8.06%,"$10,375",1.24%,7
622,markham,2020,February,337,"$784,249","$834,625",6.42%,"$9,750",1.18%,10
623,markham,2020,January,212,"$812,300","$824,875",1.54%,"$34,125",4.31%,11
624,markham,2019,December,150,"$802,350","$790,750",-1.44%,"$3,250",0.41%,23
625,markham,2019,November,303,"$782,236","$787,500",0.67%,"$5,313",0.67%,16
626,markham,2019,October,378,"$768,725","$782,187",1.75%,"$1,862",0.23%,17
627,markham,2019,September,364,"$786,750","$780,325",-0.81%,"$7,014",0.9%,15
628,markham,2019,August,350,"$771,975","$773,311",0.17%,"$12,586",1.65%,19
629,markham,2019,July,298,"$749,325","$760,725",1.52%,"-$1,273",-0.16%,18
630,markham,2019,June,352,"$757,822","$761,998",0.55%,"-$2,889",-0.37%,16
631,markham,2019,May,393,"$765,348","$764,887",-0.06%,"-$8,738",-1.12%,16
632,markham,2019,April,378,"$773,950","$773,625",-0.04%,"$32,250",4.35%,16
633,markham,2019,March,321,"$748,087","$741,375",-0.89%,"$7,813",1.06%,15
634,markham,2019,February,195,"$747,562","$733,562",-1.87%,"-$13,538",-1.81%,20
635,markham,2019,January,165,"$748,310","$747,100",-0.16%,"$25,091",3.47%,20
636,markham,2018,December,142,"$743,075","$722,009",-2.83%,"-$2,116",-0.29%,26
637,markham,2018,November,246,"$734,975","$724,125",-1.47%,"-$32,375",-4.27%,22
638,markham,2018,October,289,"$777,100","$756,500",-2.65%,"$40,500",5.65%,21
639,markham,2018,September,249,"$747,237","$716,000",-4.18%,"-$35,325",-4.7%,22
640,markham,2018,August,286,"$765,475","$751,325",-1.84%,"$10,825",1.46%,22
641,markham,2018,July,262,"$764,375","$740,500",-3.12%,"-$13,000",-1.72%,22
642,markham,2018,June,326,"$771,362","$753,500",-2.31%,$0,0%,20
643,markham,2018,May,335,"$771,250","$753,500",-2.3%,"-$9,487",-1.24%,18
644,markham,2018,April,317,"$769,337","$762,987",-0.82%,"$9,740",1.29%,16
645,markham,2018,March,279,"$765,125","$753,247",-1.55%,"$1,286",0.17%,14
646,markham,2018,February,184,"$765,362","$751,961",-1.75%,"$24,511",3.36%,20
647,markham,2018,January,128,"$761,125","$727,450",-4.42%,"-$31,600",-4.16%,33
648,markham,2017,December,157,"$786,473","$759,050",-3.48%,"$5,550",0.73%,23
649,markham,2017,November,267,"$744,725","$753,500",1.17%,"-$16,812",-2.18%,18
650,markham,2017,October,222,"$792,487","$770,312",-2.79%,"-$31,722",-3.95%,19
651,markham,2017,September,206,"$811,875","$802,034",-1.21%,"$60,159",8.1%,19
652,markham,2017,August,203,"$754,986","$741,875",-1.73%,"-$50,075",-6.32%,23
653,markham,2017,July,161,"$787,223","$791,950",0.6%,"-$1,837",-0.23%,15
654,markham,2017,June,238,"$777,562","$793,787",2.08%,"-$59,788",-7%,14
655,markham,2017,May,355,"$825,223","$853,575",3.43%,"-$74,425",-8.01%,9
656,markham,2017,April,504,"$801,823","$928,000",15.73%,"$21,625",2.38%,6
657,markham,2017,March,573,"$775,575","$906,375",16.86%,"$16,713",1.87%,6
658,markham,2017,February,370,"$774,047","$889,662",14.93%,"$55,412",6.64%,5
659,markham,2017,January,249,"$775,500","$834,250",7.57%,"$70,125",9.17%,6
660,markham,2016,December,253,"$735,837","$764,125",3.84%,"$16,600",2.22%,11
661,markham,2016,November,404,"$735,787","$747,525",1.59%,"-$11,575",-1.52%,12
662,markham,2016,October,434,"$726,062","$759,100",4.55%,"$36,075",4.98%,14
663,markham,2016,September,414,"$687,625","$723,025",5.14%,"-$5,600",-0.76%,10
664,markham,2016,August,543,"$688,925","$728,625",5.76%,"-$2,325",-0.31%,14
665,markham,2016,July,367,"$686,600","$730,950",6.45%,"$20,850",2.93%,13
666,markham,2016,June,649,"$673,087","$710,100",5.49%,"-$15,775",-2.17%,11
667,markham,2016,May,746,"$683,800","$725,875",6.15%,"$7,638",1.06%,10
668,markham,2016,April,680,"$666,562","$718,237",7.75%,"$48,112",7.17%,10
669,markham,2016,March,576,"$631,850","$670,125",6.05%,"-$8,611",-1.26%,11
670,markham,2016,February,400,"$648,000","$678,736",4.74%,"$45,861",7.24%,14
671,markham,2016,January,266,"$622,875","$632,875",1.6%,"$58,900",10.26%,17
672,markham,2015,December,231,"$573,400","$573,975",0.1%,"-$41,400",-6.72%,23
673,markham,2015,November,383,"$603,012","$615,375",2.05%,"$4,625",0.75%,19
674,markham,2015,October,458,"$609,850","$610,750",0.14%,"$24,875",4.24%,16
675,markham,2015,September,403,"$581,744","$585,875",0.71%,"-$26,000",-4.24%,19
676,markham,2015,August,449,"$600,712","$611,875",1.85%,"-$1,325",-0.21%,15
677,markham,2015,July,577,"$606,573","$613,200",1.09%,"$2,073",0.33%,14
678,markham,2015,June,611,"$592,862","$611,127",3.08%,"$10,902",1.81%,12
679,markham,2015,May,668,"$586,650","$600,225",2.31%,"$12,025",2.04%,12
680,markham,2015,April,634,"$574,322","$588,200",2.41%,"$14,653",2.55%,12
681,markham,2015,March,503,"$556,499","$573,547",3.06%,"-$12,564",-2.14%,12
682,markham,2015,February,304,"$575,361","$586,111",1.86%,"$12,111",2.1%,13
683,markham,2015,January,219,"$565,325","$574,000",1.53%,"$23,000",4.17%,19
684,markham,2014,December,198,"$555,062","$551,000",-0.73%,"-$6,462",-1.15%,22
685,markham,2014,November,311,"$554,473","$557,462",0.53%,"$17,740",3.28%,19
686,markham,2014,October,414,"$540,975","$539,722",-0.23%,"-$2,540",-0.46%,17
687,markham,2014,September,415,"$540,248","$542,262",0.37%,"$17,200",3.27%,17
688,markham,2014,August,404,"$529,700","$525,062",-0.87%,"-$1,538",-0.29%,18
689,markham,2014,July,495,"$533,587","$526,600",-1.3%,$350,0.06%,18
690,markham,2014,June,509,"$523,112","$526,250",0.59%,"-$24,375",-4.42%,14
691,markham,2014,May,561,"$533,987","$550,625",3.11%,"$33,213",6.41%,14
692,markham,2014,April,531,"$509,850","$517,412",1.48%,"-$5,650",-1.08%,13
693,markham,2014,March,462,"$514,837","$523,062",1.59%,"$3,300",0.63%,13
694,markham,2014,February,293,"$510,723","$519,762",1.76%,"$4,404",0.85%,15
695,markham,2014,January,214,"$520,950","$515,358",-1.07%,"$32,983",6.83%,24
696,markham,2013,December,213,"$497,962","$482,375",-3.13%,"-$6,875",-1.4%,22
697,markham,2013,November,309,"$493,585","$489,250",-0.87%,"$2,014",0.41%,23
698,markham,2013,October,404,"$493,422","$487,236",-1.25%,"-$14,736",-2.93%,20
699,markham,2013,September,386,"$506,962","$501,972",-0.98%,"$21,872",4.55%,17
700,markham,2013,August,449,"$490,550","$480,100",-2.13%,"$6,350",1.34%,21
701,markham,2013,July,478,"$475,700","$473,750",-0.4%,"-$7,975",-1.65%,21
702,markham,2013,June,490,"$489,850","$481,725",-1.65%,"-$12,275",-2.48%,17
703,markham,2013,May,525,"$503,686","$494,000",-1.92%,"$28,138",6.03%,16
704,markham,2013,April,522,"$468,975","$465,862",-0.66%,"-$8,888",-1.87%,16
705,markham,2013,March,386,"$482,184","$474,750",-1.54%,"$9,149",1.96%,14
706,markham,2013,February,271,"$469,337","$465,601",-0.79%,"-$1,149",-0.24%,16
707,markham,2013,January,209,"$478,350","$466,750",-2.42%,"$14,625",3.23%,33
708,markham,2012,December,150,"$465,198","$452,125",-2.81%,"$17,075",3.92%,27
709,markham,2012,November,250,"$442,700","$435,050",-1.72%,"-$21,575",-4.72%,28
710,markham,2012,October,285,"$464,300","$456,625",-1.65%,-$875,-0.19%,26
711,markham,2012,September,283,"$466,687","$457,500",-1.96%,"$3,900",0.85%,21
712,markham,2012,August,300,"$462,562","$453,600",-1.93%,"-$6,261",-1.36%,20
713,markham,2012,July,359,"$466,710","$459,861",-1.46%,"$1,986",0.43%,18
714,markham,2012,June,499,"$459,712","$457,875",-0.39%,"-$20,000",-4.18%,16
715,markham,2012,May,555,"$473,807","$477,875",0.85%,"$15,063",3.25%,15
716,markham,2012,April,547,"$460,587","$462,812",0.48%,"$7,437",1.63%,13
717,markham,2012,March,503,"$455,662","$455,375",-0.06%,"-$8,312",-1.79%,13
718,markham,2012,February,365,"$466,112","$463,687",-0.52%,"$15,487",3.45%,14
719,markham,2012,January,224,"$448,975","$448,200",-0.17%,"$448,200",0%,20
720,milton,2021,December,122,"$880,706","$997,976",13.31%,"$28,951",2.98%,5
721,milton,2021,November,197,"$880,750","$969,025",10.02%,"$34,052",3.64%,7
722,milton,2021,October,199,"$873,300","$934,973",7.06%,"$16,973",1.84%,6
723,milton,2021,September,177,"$837,112","$918,000",9.66%,"$51,250",5.91%,6
724,milton,2021,August,209,"$830,722","$866,750",4.33%,"$23,750",2.81%,7
725,milton,2021,July,242,"$827,210","$843,000",1.9%,"-$13,187",-1.54%,10
726,milton,2021,June,278,"$821,962","$856,187",4.16%,-$938,-0.1%,7
727,milton,2021,May,323,"$817,475","$857,125",4.85%,"$13,025",1.54%,8
728,milton,2021,April,348,"$787,225","$844,100",7.22%,"-$6,837",-0.8%,5
729,milton,2021,March,428,"$800,898","$850,937",6.24%,"$8,312",0.98%,5
730,milton,2021,February,305,"$790,950","$842,625",6.53%,"$14,875",1.79%,4
731,milton,2021,January,153,"$769,550","$827,750",7.56%,"$60,000",7.81%,5
732,milton,2020,December,131,"$752,187","$767,750",2.06%,"$9,563",1.26%,10
733,milton,2020,November,208,"$744,837","$758,187",1.79%,"$27,487",3.76%,10
734,milton,2020,October,241,"$703,587","$730,700",3.85%,"$6,950",0.96%,8
735,milton,2020,September,273,"$709,425","$723,750",2.01%,"$10,750",1.5%,8
736,milton,2020,August,284,"$701,250","$713,000",1.67%,"$23,125",3.35%,10
737,milton,2020,July,303,"$687,312","$689,875",0.37%,"$10,125",1.48%,9
738,milton,2020,June,254,"$681,960","$679,750",-0.32%,"$8,188",1.21%,9
739,milton,2020,May,133,"$674,837","$671,562",-0.48%,"$30,812",4.8%,14
740,milton,2020,April,105,"$647,346","$640,750",-1.01%,"-$53,375",-7.68%,15
741,milton,2020,March,207,"$664,750","$694,125",4.41%,"$9,375",1.36%,8
742,milton,2020,February,194,"$667,662","$684,750",2.55%,"$54,438",8.63%,7
743,milton,2020,January,44,"$626,197","$630,312",0.65%,"-$8,938",-1.39%,7
744,milton,2019,December,73,"$632,287","$639,250",1.1%,"$10,375",1.64%,12
745,milton,2019,November,163,"$636,612","$628,875",-1.21%,"-$15,375",-2.38%,11
746,milton,2019,October,153,"$649,434","$644,250",-0.79%,$763,0.11%,13
747,milton,2019,September,167,"$650,750","$643,487",-1.11%,"$20,637",3.31%,13
748,milton,2019,August,200,"$622,837","$622,850",0%,"$3,725",0.6%,16
749,milton,2019,July,208,"$625,612","$619,125",-1.03%,"$6,438",1.05%,14
750,milton,2019,June,237,"$614,062","$612,687",-0.22%,"-$21,313",-3.36%,13
751,milton,2019,May,285,"$634,550","$634,000",-0.08%,"$20,250",3.29%,13
752,milton,2019,April,255,"$613,387","$613,750",0.05%,"$5,875",0.96%,12
753,milton,2019,March,194,"$606,062","$607,875",0.29%,"$14,250",2.4%,10
754,milton,2019,February,137,"$602,050","$593,625",-1.39%,"$4,388",0.74%,14
755,milton,2019,January,112,"$594,922","$589,237",-0.95%,"-$1,388",-0.23%,27
756,milton,2018,December,85,"$596,062","$590,625",-0.91%,"$10,100",1.73%,22
757,milton,2018,November,44,"$589,425","$580,525",-1.5%,"$1,088",0.18%,16
758,milton,2018,October,160,"$591,475","$579,437",-2.03%,"$1,450",0.25%,17
759,milton,2018,September,142,"$583,562","$577,987",-0.95%,"-$11,700",-1.98%,17
760,milton,2018,August,166,"$599,187","$589,687",-1.58%,"$9,087",1.56%,20
761,milton,2018,July,162,"$584,812","$580,600",-0.72%,"-$7,775",-1.32%,15
762,milton,2018,June,200,"$597,600","$588,375",-1.54%,"$6,575",1.13%,19
763,milton,2018,May,207,"$588,675","$581,800",-1.16%,-$262,-0.04%,19
764,milton,2018,April,186,"$590,650","$582,062",-1.45%,"$3,437",0.59%,12
765,milton,2018,March,184,"$587,050","$578,625",-1.43%,"-$5,937",-1.01%,11
766,milton,2018,February,127,"$588,062","$584,562",-0.59%,"$24,687",4.4%,9
767,milton,2018,January,78,"$567,211","$559,875",-1.29%,"-$15,875",-2.75%,23
768,milton,2017,December,106,"$584,062","$575,750",-1.42%,"$10,263",1.81%,21
769,milton,2017,November,180,"$573,325","$565,487",-1.36%,$140,0.02%,15
770,milton,2017,October,143,"$564,900","$565,347",0.07%,"$14,985",2.72%,14
771,milton,2017,September,136,"$555,212","$550,362",-0.87%,"-$17,888",-3.14%,16
772,milton,2017,August,121,"$575,537","$568,250",-1.26%,-$875,-0.15%,24
773,milton,2017,July,100,"$576,812","$569,125",-1.33%,"-$28,500",-4.76%,22
774,milton,2017,June,183,"$583,859","$597,625",2.35%,"-$23,375",-3.76%,11
775,milton,2017,May,234,"$605,712","$621,000",2.52%,"-$23,777",-3.68%,8
776,milton,2017,April,285,"$586,687","$644,777",9.9%,"$1,629",0.25%,6
777,milton,2017,March,253,"$560,537","$643,148",14.73%,"$39,198",6.49%,5
778,milton,2017,February,163,"$548,987","$603,950",10.01%,"$37,625",6.64%,7
779,milton,2017,January,110,"$551,175","$566,325",2.74%,"$41,519",7.91%,6
780,milton,2016,December,99,"$516,487","$524,806",1.61%,"-$17,055",-3.14%,13
781,milton,2016,November,179,"$533,311","$541,861",1.6%,"$8,899",1.66%,9
782,milton,2016,October,168,"$519,400","$532,962",2.61%,"$28,487",5.64%,9
783,milton,2016,September,182,"$490,962","$504,475",2.75%,"-$14,962",-2.88%,8
784,milton,2016,August,202,"$510,450","$519,437",1.76%,"$19,353",3.86%,9
785,milton,2016,July,172,"$481,099","$500,084",3.94%,"-$4,666",-0.92%,9
786,milton,2016,June,275,"$487,800","$504,750",3.47%,"$6,649",1.33%,9
787,milton,2016,May,257,"$479,687","$498,101",3.83%,"$1,976",0.39%,10
788,milton,2016,April,292,"$482,575","$496,125",2.8%,"$24,213",5.13%,10
789,milton,2016,March,246,"$463,536","$471,912",1.8%,"$3,400",0.72%,12
