,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
1429,1365000,4,4,21 Catherine Dr,L4N 9S9,Barrie,44.3572,-79.6929,3
1430,1399000,4,3,50 Bethune Blvd,M1M 3B1,Scarborough,43.7247,-79.2312,2
1431,849000,4,3,2 Fieldcrest Ave,K2G 6A4,Nepean,45.3211,-75.7391,2
1432,1099999,5,2,11 Morning Dew Rd,M1E 3Y3,Scarborough,43.7678,-79.1866,2
1433,580000,4,2,34 Colborne St,N7M 3N7,Chatham,42.4238,-82.1183,2
1434,1688000,4,3,6355 Kingston Rd,M1C 1K9,Scarborough,43.7878,-79.1564,1
1435,579000,2,2,76 Meadowview Blvd,L1C 5B8,Bowmanville,43.9714,-78.7095,1
1436,799000,3,1,10 Davidson Ave,M1K 1E7,Scarborough,43.7298,-79.2639,1
1437,3049000,7,7,77 Fairholme Ave,M6A 1B1,North York ,43.7223,-79.4504,2
1439,6600000,5,7,104 Argyle St,K0L 1Y0,Peterborough County,44.7767,-77.9687,3
1440,3295000,7,4,111 Roxborough Dr,M4T 1C7,Toronto,43.6899,-79.3853,1
1441,1999000,6,2,37 Millgate Cres,M2K 1J4,North York ,43.7797,-79.3813,1
1443,2788800,4,5,111 Estelle Ave,M2N 3H5,Willowdale,43.7673,-79.4111,3
1445,637000,3,2,160 King St 1004,P3C 2V8,Greater Sudbury ,46.5133,-81.0225,2
1447,459900,1,1,652 Princess St 1023,K7L 1E5,Kingston,44.2955,-76.428,2
1448,789900,2,3,180 Howden Blvd 67,L6S 2P2,Brampton,43.7379,-79.726,3
1449,429000,3,2,2737 Keele St 917,M6L 3E7,North York ,43.7137,-79.4869,2
1450,649000,1,2,1055 Southdown Rd 1501,L5J 2Y4,Mississauga,43.5102,-79.6296,2
1451,665000,1,1,251 Manitoba St 2205,M8Y 4H5,Etobicoke,43.6325,-79.4939,2
1453,1100000,3,3,3074 Sixth Line 232,L6H 0G6,Oakville,43.4881,-79.7098,1
1454,720000,3,2,15 Zorra St 604,M8Z 1R6,Etobicoke,43.6256,-79.5231,3
1455,389900,2,1,390 Dixon Rd 1808,M9R 2K5,Etobicoke,43.6898,-79.5582,1
1456,599000,3,2,3605 Kariya Dr #311,L5B 3C3,Mississauga,43.5771,-79.6306,2
1457,619999,2,2,58 Lakeside Terr 609,L4M 0J2,Barrie,44.4001,-79.6663,3
1458,568000,2,1,11611 Yonge St 221,L4S 0E9,Richmond Hill ,43.8985,-79.4143,3
1459,399900,1,1,8 Lee Centre Dr 1115,M1H 3H8,Scarborough,43.7686,-79.2389,1
1460,579000,3,1,301 Prudential Dr 407,M1P 2S1,Scarborough,43.7612,-79.2707,3
1461,699000,3,3,2500 Hill Rise Crt 100,L1L 0R1,Oshawa,43.9581,-78.8972,1
1462,599900,2,2,280 Donlands Ave 502,M4J 3R7,Toronto,43.6872,-79.3368,3
1463,399900,2,1,200 Mclevin Ave 43,M1B 2L2,Scarborough,43.8113,-79.193,3
1464,799000,3,1,9 Shank St 902,M6K 1E4,Toronto,43.6383,-79.4301,1
1465,1998000,3,3,10 York St 6305,M5J 0E1,Toronto,43.623,-79.3936,1
1466,655000,2,1,1 Belsize Dr 420,M4S 1Z7,Toronto,43.702,-79.3853,0
1467,629900,2,1,25 Telegram Mews #2603,M5V 3Z9,Toronto,43.6404,-79.3995,0
1468,688000,2,2,500 Doris Ave 530,M2N 7A2,Willowdale,43.7673,-79.4111,0
1469,649900,2,2,55 Regent Park Blvd 1607,M5A 0K7,Toronto,43.6555,-79.3626,3
1471,784999,3,2,19 Western Battery Rd 1608,M6K 3R9,Toronto,43.6383,-79.4301,2
1472,750000,2,2,8 York St 3203,M5J 2Y5,Toronto,43.623,-79.3936,2
1473,699998,2,2,2 Covington Rd 1009,M6A 3B7,North York ,43.7223,-79.4504,0
1474,747000,1,1,61 St Clair Ave 305,L8M 1K2,Hamilton,43.2441,-79.8359,2
1476,579000,1,1,73 Mccaul St 529,M5T 2W7,Toronto,43.6541,-79.3978,1
1477,649900,3,4,75 Royal Field Cres,K2J 4E6,Nepean,45.2691,-75.7518,0
1478,499900,3,1,70 Park Ave,K2P 2E6,Ottawa,45.4166,-75.6904,3
1479,999900,3,3,9 Dewsbury Way,L8E 5C5,Hamilton,43.2245,-79.6988,3
1482,1489000,5,3,145 Ironwood Dr,N9C 0B9,Windsor,42.2767,-83.0793,2
1484,528000,5,2,189 Stewart St,K9J 3P2,Peterborough,44.3104,-78.2396,2
1485,1000000,4,2,1850 Bonnymede Dr,L5J 4B2,Mississauga,43.5102,-79.6296,3
1486,1699000,3,4,91 Evans Ave,M6S,Toronto,43.6512,-79.4828,2
1487,1399900,4,4,1215 Mcbride Ave,L5C 1M8,Mississauga,43.5624,-79.6504,2
1488,849000,4,2,37 Avon Ave,M6N,York,43.6748,-79.4839,2
1489,1249900,4,3,3252 Dundas St,N5V 5C6,London,43.0233,-81.1643,3
1490,2400000,4,3,13998 Sixth Line,L6H 0G6,Oakville,43.4881,-79.7098,3
1491,1049000,3,3,364 Wheat Boom Dr,L6M 0T7,Oakville,43.4464,-79.7593,2
1492,1450000,4,2,166 Silverthorn Ave,M6N,York,43.6748,-79.4839,2
1493,899900,5,2,4 Lansing Sq,M1T 1A4,Scarborough,43.7812,-79.3036,1
1494,2099000,5,3,132 Colbeck St,M6S,Toronto,43.6512,-79.4828,2
1496,849900,4,2,98 Zina St,L9W 1L1,Orangeville,43.9702,-80.016,2
1498,1299000,3,3,21 Hilldale Rd,M6N,York,43.6748,-79.4839,1
